নং	দেশ	মহাদেশ	জাতিসংঘের অনুমান	তারিখ
১৬৮ 	 মন্টিনিগ্রো 	ইউরোপ 	৬,২৭,৯৮৭ 	১ জুলাই ২০১৯
১৬৯ 	 লুক্সেমবুর্গ 	ইউরোপ 	৬,১৫,৭২৯ 	১ জুলাই ২০১৯
১৭০ 	 পশ্চিম সাহারা 	আফ্রিকা 	৫,৮২,৪৬৩ 	১ জুলাই ২০১৯
১৭১ 	 সুরিনাম 	আমেরিকা 	৫,৮১,৩৭২ 	১ জুলাই ২০১৯
১৭২ 	 কাবু ভের্দি 	আফ্রিকা 	৫,৪৯,৯৩৫ 	১ জুলাই ২০১৯
১৭৩ 	 মালদ্বীপ 	এশিয়া 	৫,৩০,৯৫৩ 	১ জুলাই ২০১৯
১৭৪ 	 গুয়াদলুপ (ফ্রান্স) 	আমেরিকা 	৪,৪৭,৯০৫ 	১ জুলাই ২০১৯
১৭৫ 	 মাল্টা 	ইউরোপ 	৪,৪০,৩৭২ 	১ জুলাই ২০১৯
১৭৬ 	 ব্রুনাই 	এশিয়া 	৪,৩৩,২৮৫ 	১ জুলাই ২০১৯
১৭৭ 	 বেলিজ 	আমেরিকা 	৩,৯০,৩৫৩ 	১ জুলাই ২০১৯
১৭৮ 	 বাহামা দ্বীপপুঞ্জ 	আমেরিকা 	৩,৮৯,৪৮২ 	১ জুলাই ২০১৯
১৭৯ 	 মার্তিনিক (ফ্রান্স) 	আমেরিকা 	৩,৭৫,৫৫৪ 	১ জুলাই ২০১৯
১৮০ 	 আইসল্যান্ড 	ইউরোপ 	৩,৩৯,০৩১ 	১ জুলাই ২০১৯
১৮১ 	 ভানুয়াটু 	ওশেনিয়া 	২,৯৯,৮৮২ 	১ জুলাই ২০১৯
১৮২ 	 বার্বাডোস 	আমেরিকা 	২,৮৭,০২৫ 	১ জুলাই ২০১৯
১৮৩ 	 নিউ ক্যালিডোনিয়া (ফ্রান্স) 	ওশেনিয়া 	২,৮২,৭৫০ 	১ জুলাই ২০১৯
১৮৪ 	 ফরাসি গায়ানা 	আমেরিকা 	২,৮২,৭৩১ 	১ জুলাই ২০১৯
১৮৫ 	 ফরাসি পলিনেশিয়া 	ওশেনিয়া 	২,৭৯,২৮৭ 	১ জুলাই ২০১৯
১৮৬ 	 মায়োত (ফ্রান্স) 	ওশেনিয়া 	২,৬৬,১৫০ 	১ জুলাই ২০১৯
১৮৭ 	 সাঁউ তুমি ও প্রিন্সিপি 	আফ্রিকা 	২,১৫,০৫৬ 	১ জুলাই ২০১৯
১৮৮ 	 সামোয়া 	ওশেনিয়া 	১,৯৭,০৯৭ 	১ জুলাই ২০১৯
১৮৯ 	 সেন্ট লুসিয়া 	আমেরিকা 	১,৮২,৭৯০ 	১ জুলাই ২০১৯
১৯০ 	 জার্সি e  গেনসি (যুক্তরাজ্য) 	ওশেনিয়া 	১,৭২,২৫৯ 	১ জুলাই ২০১৯
১৯১ 	 গুয়াম (মার্কিন যুক্তরাষ্ট্র) 	আমেরিকা 	১,৬৭,২৯৪ 	১ জুলাই ২০১৯
১৯২ 	 কুরাকাও দ্বীপ (নেদারল্যান্ড) 	আমেরিকা 	১,৬৩,৪২৪ 	১ জুলাই ২০১৯
১৯৩ 	 কিরিবাস 	ওশেনিয়া 	১,১৭,৬০৬ 	১ জুলাই ২০১৯
১৯৪ 	 মাইক্রোনেশিয়া যুক্তরাজ্য 	ওশেনিয়া 	১,১৩,৮১৫ 	১ জুলাই ২০১৯
১৯৫ 	 গ্রেনাডা 	আমেরিকা 	১,১২,০০৩ 	১ জুলাই ২০১৯
১৯৬ 	 টোঙ্গা 	ওশেনিয়া 	১,১০,৯৪০ 	১ জুলাই ২০১৯
১৯৭ 	 সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ 	আমেরিকা 	১,১০,৫৮৯ 	১ জুলাই ২০১৯
১৯৮ 	 আরুবা (নেদারল্যান্ড) 	আমেরিকা 	১,০৬,৩১৪ 	১ জুলাই ২০১৯
১৯৯ 	 মার্কিন ভার্জিন দ্বীপপুঞ্জ (মার্কিন যুক্তরাষ্ট্র) 	আমেরিকা 	১,০৪,৫৭৮ 	১ জুলাই ২০১৯
২০০ 	 সেশেল 	আফ্রিকা 	৯৭,৭৩৯ 	১ জুলাই ২০১৯
২০১ 	 অ্যান্টিগুয়া ও বার্বুডা 	আমেরিকা 	৯৭,১১৮ 	১ জুলাই ২০১৯
২০২ 	 আইল অফ ম্যান (যুক্তরাজ্য) 	ইউরোপ 	৮৪,৫৮৪ 	১ জুলাই ২০১৯
২০৩ 	 অ্যান্ডোরা 	ইউরোপ 	৭৭,১৪২ 	১ জুলাই ২০১৯
২০৪ 	 ডোমিনিকা 	আমেরিকা 	৭১,৮০৮ 	১ জুলাই ২০১৯
২০৫ 	 কেইম্যান দ্বীপপুঞ্জ (যুক্তরাজ্য) 	আমেরিকা 	৬৪,৯৪৮ 	১ জুলাই ২০১৯
২০৬ 	 বারমুডা (যুক্তরাজ্য) 	আমেরিকা 	৬২,৫০৬ 	১ জুলাই ২০১৯
২০৭ 	 মার্শাল দ্বীপপুঞ্জ 	ওশেনিয়া 	৫৮,৭৯১ 	১ জুলাই ২০১৯
২০৮ 	 গ্রিনল্যান্ড (ডেনমার্ক) 	আমেরিকা 	৫৬,৬৭২ 	১ জুলাই ২০১৯
২০৯ 	 উত্তর মারিয়ানা দ্বীপপুঞ্জ (মার্কিন যুক্তরাষ্ট্র) 	আমেরিকা 	৫৬,১৮৮ 	১ জুলাই ২০১৯
২১০ 	 আমেরিকান সামোয়া (মার্কিন যুক্তরাষ্ট্র) 	আমেরিকা 	৫৫,৩১২ 	১ জুলাই ২০১৯
২১১ 	 সেন্ট কিট্‌স ও নেভিস 	আমেরিকা 	৫২,৮২৩ 	১ জুলাই ২০১৯
২১২ 	 ফ্যারো দ্বীপপুঞ্জ (ডেনমার্ক) 	ইউরোপ 	৪৮,৬৭৮ 	১ জুলাই ২০১৯
২১৩ 	 সিন্ট মারর্টেন (নেদারল্যান্ড) 	আমেরিকা 	৪২,৩৮৮ 	১ জুলাই ২০১৯
২১৪ 	 মোনাকো 	ইউরোপ 	৩৮,৯৬৪ 	১ জুলাই ২০১৯
